uid,comp_key,fom_ref,rank_mean,rank_entropy
1PbBr2-1,Br2-Pb1,2161.1876885575307,193.334,0.8099982599686073
1CuInP2Se6-1,Cu1-In1-P2-Se6,2162.223196841728,193.829,0.8043895879989084
1PtSe2-1,Pt1-Se2,2154.626799946079,196.135,0.8113778788609769
2GaSiTe-1,Ga1-Si1-Te1,2160.8844124556203,196.4925,0.8198206326755733
1AgSbAs2Se6-1,Ag1-As2-Sb1-Se6,2120.075261209756,199.613,0.8250521382796019
2ClGaTe-1,Cl1-Ga1-Te1,2133.008533514769,200.07,0.8139673813153844
1GeSZnBr2-1,Br2-Ge1-S1-Zn1,2124.180367081901,200.7805,0.8162521559493948
1AgAlAs2Se6-1,Ag1-Al1-As2-Se6,2132.9185058831204,202.7495,0.820465620837767
1WO2-1,O2-W1,2119.361035521556,203.699,0.8116391450449456
1AlISe-1,Al1-I1-Se1,2105.358743391737,205.2435,0.8158990999557783
2CuI-1,Cu1-I1,2113.9951478755247,205.3615,0.8167222479546384
1SnSe2-1,Se2-Sn1,2112.5348307569843,205.9135,0.8205634517864662
4NbS3-2,Nb1-S3,1994.493694871091,205.988,0.8675674816994692
1GeO2-1,Ge1-O2,2099.750790140804,206.8425,0.8209042155736961
2BrGaO-1,Br1-Ga1-O1,2103.9720970622116,207.388,0.8148890807421741
1HfSe2-1,Hf1-Se2,2078.5508374799315,207.6225,0.822899478668681
2AlBrTe-1,Al1-Br1-Te1,2085.9330875964984,208.535,0.8114502969689111
1TeSb2Se2-1,Sb2-Se2-Te1,2067.8825580465327,209.188,0.9107569748861979
2GaIS-3,Ga1-I1-S1,2086.833440241191,210.332,0.8200345731625155
1PbS2-1,Pb1-S2,2075.1066346006846,213.8355,0.8238945703804239
2IInSe-1,I1-In1-Se1,2075.598698220729,214.3815,0.8177563215095702
1SnTe-1,Sn1-Te1,2070.584488615278,214.646,0.8178476769345652
1SnO2-1,O2-Sn1,2073.618584236146,214.712,0.8199837715023547
2AgTe-3,Ag1-Te1,2048.531227022473,214.944,0.9013119586017312
2BrInS-1,Br1-In1-S1,2054.0013490912784,219.8595,0.8247176920417117
1BiScCl2O2-1,Bi1-Cl2-O2-Sc1,2045.4648681049123,221.1145,0.8213977023382272
1In2Te5-1,In2-Te5,2047.0160636935755,221.542,0.8201578279606236
1PbSb2Se4-1,Pb1-Sb2-Se4,1739.0453717101695,221.706,0.9114150679936065
