uid,comp_key,gap,gap_hse,gap_gw,E_pred,E_sd,mahalanobis,in_anchor_box
2InSiTe-1,In1-Si1-Te1,0.4175190736790868,1.0371262754199784,,1.3169199,0.25927213,1.0731742590121107,True
4GeSbSe-1,Ge1-Sb1-Se1,1.4880641569333903,2.16465758173826,,2.847981,0.26500466,0.10151767992815554,True
2PdTeS3-1,Pd1-S3-Te1,1.0062005290495644,1.8177466141329617,,2.3176289,0.2648273,1.033428001076991,True
1Ag2Br2Se3P4-1,Ag2-Br2-P4-Se3,1.4494991017956202,2.6505878043294935,,3.3475947,0.26817527,2.3316425111247936,True
2CuINC3H4-1,C3-Cu1-H4-I1-N1,0.8376043421494925,2.502060151685307,,2.9956193,0.28953958,5.020387265394932,True
2CH-1,C1-H1,3.4601107430494684,4.4211110950264505,6.415813274418973,5.8623896,0.26226008,1.6700439906166822,True
2CGeSbH3S3-1,C1-Ge1-H3-S3-Sb1,1.5491041964007457,2.385795717636774,,3.1053348,0.26400855,0.579138305195865,True
4SiP2-1,P2-Si1,1.5391928642475277,2.2984799664287636,,2.999268,0.26139477,0.234529661887423,True
1Cu2I2Se3Sb4-1,Cu2-I2-Sb4-Se3,0.884392802918291,2.312530909053016,,2.7962196,0.27100042,3.903378380869242,True
2AgITe2-1,Ag1-I1-Te2,1.0247329626486337,1.889084971843067,,2.4098132,0.2601891,1.2373346077703353,True
1AsITe-1,As1-I1-Te1,0.9824210262587282,1.5024923748158407,1.794577516976123,1.97071,0.2692623,0.5685433746746501,True
2ISb-1,I1-Sb1,0.5861573162815679,0.621055847490019,,0.9223471,0.26732254,2.353759613039687,True
2AuClSe2-1,Au1-Cl1-Se2,1.0875262491670328,1.7372909313259313,,2.2575603,0.26810637,0.37595855061229405,True
2HP3S6-1,H1-P3-S6,2.240931086462242,3.205281091660997,,4.1909513,0.2558004,0.8023688233565828,True
2NiTeS3-1,Ni1-S3-Te1,0.6097035785955847,1.566844270911516,,1.9285905,0.2699074,2.096796943942517,True
4AgITe-1,Ag1-I1-Te1,0.7266584732914136,1.0980326409860481,,1.4836588,0.26543716,1.0400341942429738,True
4P2S3-1,P2-S3,1.8324815325912311,2.6437347252727013,,3.4626043,0.27200693,0.3305355985162893,True
2AuBrTe2-1,Au1-Br1-Te2,1.0133511652494473,1.6212554024368824,,2.1312487,0.27031776,0.4114196802169665,True
4CuIS-1,Cu1-I1-S1,0.5680674722639694,1.157982310604249,,1.4929905,0.26622388,0.8376408483125555,True
1STeGe2-1,Ge2-S1-Te1,0.8900295310095286,1.2159057469559504,,1.6398873,0.26657084,1.2761364203431307,True
1WTe2-1,Te2-W1,0.7271129177540188,1.1408641561156432,1.3766233686731302,1.5203365,0.24862722,0.8962026724361117,True
1AsIS-1,As1-I1-S1,1.3364716297789239,1.9500066154135134,2.355958357641004,2.573786,0.25800362,0.2923527630253729,True
1CrTe2-2,Cr1-Te2,0.453283297446625,0.8687082803736172,0.8119657799799282,1.1341031,0.26203355,0.9432388623829868,True
1RuBr2-1,Br2-Ru1,1.0452996636176537,2.541624949676126,2.403057819504702,3.1019614,0.27334103,4.056051061868255,True
4AuBrS-1,Au1-Br1-S1,1.1204874194410186,2.000438592220704,,2.5651824,0.25054622,1.201056728931871,True
2IPt-1,I1-Pt1,0.3551299065345279,0.4039141514267164,,0.62366545,0.26214534,2.1762943728171407,False
1CrW3Te8-1,Cr1-Te8-W3,0.5428116456721616,0.9367921249634837,,1.2486961,0.27286515,0.9656960626348003,True
2AuI-1,Au1-I1,1.8080290134811015,2.5854584993526384,,3.4000392,0.273781,0.24723613426863816,True
1WCr3Te8-1,Cr3-Te8-W1,0.4428158811667401,0.841141239095355,,1.0976869,0.2558059,0.9800655598106733,True
2AuClS2-1,Au1-Cl1-S2,1.1927481831430087,1.9134862007311644,,2.4858148,0.27119496,0.45163316809308957,True
1PbAs2Te4-1,As2-Pb1-Te4,0.4768069328696509,0.8469828410310721,,1.1355723,0.2756023,1.0383971789651667,True
2CrWTe4-1,Cr1-Te4-W1,0.4968781333091822,0.8763845111557365,,1.1511886,0.26708797,1.0108109419772442,True
4ReTe2-1,Re1-Te2,0.8173624642986473,1.330936662758488,,1.7563546,0.2638726,0.6219867263708094,True
2AuS-1,Au1-S1,1.2163392281134509,2.010075119298491,,2.5965106,0.25641766,0.7211181203087198,True
4NiI2-1,I2-Ni1,0.632930609144942,1.9052419661450903,,2.3029244,0.2711366,3.45658782388902,True
4AuISe-1,Au1-I1-Se1,0.8495735239159794,1.4838577579427352,,1.9219434,0.2653001,0.609948722328222,True
2TeTl-2,Te1-Tl1,0.33947302943856683,0.6814480253702913,,0.8975259,0.27021638,1.1350030148642996,True
1Cu2I2Se3P4-1,Cu2-I2-P4-Se3,0.8787788649622343,2.301543206722109,,2.794633,0.28312132,3.8846027013208384,True
2AgIS2-1,Ag1-I1-S2,1.1881447905227633,2.2234483007862336,,2.807984,0.26679763,1.8257778230042108,True
2AuSbS3-1,Au1-S3-Sb1,1.2261957312987586,2.045926817373653,,2.6361287,0.25690144,0.8229587734358101,True
4AgISe-1,Ag1-I1-Se1,0.6051030848310353,1.0307436153249947,,1.3585163,0.26702392,0.8743572526142029,True
4SiAs2-1,As2-Si1,1.4221972449029598,2.0225370004709764,,2.6697936,0.2650825,0.3959831239326937,True
1AgAlP2Te6-1,Ag1-Al1-P2-Te6,0.5008887028421838,1.0646870790154581,,1.3552436,0.26295733,0.8684276001712042,True
4PSiTe-1,P1-Si1-Te1,1.5242590421659248,2.2393462805564806,,2.9277458,0.27017742,0.045569059698229164,True
2NiTe2-1,Ni1-Te2,0.9207980008049976,1.7029218107151665,,2.1709023,0.27223715,1.0116093465993914,True
1AgSbAs2Se6-1,Ag1-As2-Sb1-Se6,0.596745000387668,1.1803003251095965,,1.5267509,0.2569059,0.7962438385735335,True
